reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
67.0,75.0,119.0,4,1,29,5,39.82980989999942,,39.81498779999947,39.82980989999942,40.82983239999976,40.82983239999976,40.82983239999976,41.117245999999795,t,0.28149299999950017,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,4,2,30,0,41.1296325000003,,41.118616900000234,41.1296325000003,42.129644099999496,42.129644099999496,42.129644099999496,42.430833399999756,l,0.29529790000015055,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,4,3,31,4,42.44634169999972,,42.43245599999955,42.44634169999972,43.446349400000145,43.446349400000145,43.446349400000145,43.664657799999986,t,0.21072849999927712,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,4,4,32,2,43.67945679999957,,43.6660082999997,43.67945679999957,44.67962139999963,44.67962139999963,44.67962139999963,44.964162600000236,l,0.27879329999996116,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,4,5,33,3,44.97945939999954,,44.96593389999998,44.97945939999954,45.97946289999982,45.97946289999982,45.97946289999982,46.28066979999949,t,0.2874776999997266,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,4,6,34,1,46.296072999999524,,46.281192599999486,46.296072999999524,47.29593879999993,47.29593879999993,47.29593879999993,47.450710099999924,l,0.15101460000005318,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,5,0,35,0,47.46277949999967,,47.45244989999992,47.46277949999967,48.462645200000225,48.462645200000225,48.462645200000225,48.8469385999997,l,0.38001299999996263,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
67.0,75.0,119.0,5,1,36,5,48.86255869999968,,48.847461000000294,48.86255869999968,49.8627491999996,49.8627491999996,49.8627491999996,50.13043279999965,l,0.2504473999997572,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
40.0,55.0,62.0,5,2,37,3,50.14578470000015,,50.13185590000012,50.14578470000015,51.14588579999963,51.14588579999963,51.14588579999963,51.44675189999998,t,0.2936987000002773,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
78.0,80.0,162.0,5,3,38,6,51.46242549999988,,51.4472324999997,51.46242549999988,52.46251829999983,52.46251829999983,52.46251829999983,52.69708850000006,l,0.22620769999957702,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,5,4,39,4,52.71297340000001,,52.69876479999948,52.71297340000001,53.71247070000027,53.71247070000027,53.71247070000027,53.89703129999998,l,0.16709639999953652,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
27.0,50.0,21.0,5,5,40,2,53.91226319999987,,53.89935119999973,53.91226319999987,54.91256129999965,54.91256129999965,54.91256129999965,55.380228400000306,l,0.4523092999997971,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
15.0,35.0,13.0,5,6,41,1,55.39547510000011,,55.38158849999945,55.39547510000011,56.37894150000011,56.37894150000011,56.395203299999594,56.66513130000021,t,0.268869800000175,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
11.0,30.0,7.0,6,0,42,0,56.6786833999995,,56.66649830000006,56.6786833999995,57.67883879999954,57.67883879999954,57.67883879999954,57.96309959999962,t,0.27460509999946225,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
49.0,60.0,89.0,6,1,43,4,57.97854619999998,,57.964731799999754,57.97854619999998,58.97870609999973,58.97870609999973,58.97870609999973,59.22993159999987,t,0.24223470000015368,None,04,001,2024-11-21_19h19.50.589,PSY310 TASK7,2024.1.5,None,2024-11-21 19h20.10.136446 +0530,
